name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Geographic areas served	Results	Target demographics	Direct beneficiaries per year
BOY SCOUTS OF AMERICA	http://www.hawkeyebsa.org	319-862-0541	EIN 42-0680304	Bezanson Service Center 660 32nd Ave Sw	Cedar Rapids	IA	52404	USA	Boy Scouts of America, Children & Youth, Community Coalitions, Human Service Organizations, Human Services	The Hawkeye Area Council of the Boy Scouts of America was formed in 1952 through the merger of the Iowa River Valley Council and the Cedar Rapids Council. The Hawkeye Area Council works through community-based organizations in Eastern Iowa to provide Scoutings many programs to 10,000 of the areas youth annually. Youth served include boys and girls, ages 5-21. The Council accomplishes its purpose through the work of nearly 3,000 volunteers. The Council provides camping facilities, leader training, and other support services to over 220 Scouting units.	In the councils seven county service area, over 6,000 youth were served by the scouting program in 2014. The council provides direct support to adult volunteers, youth leaders and the scouts themselves. Working in tandem with partners called chartered organizations, the council provides programs to cub scouts, boy scouts, venturing and exploring groups. Also, the council provides support in training, advancement, accident and sickness insurance for all members and leaders, marketing, high adventure opportunities, day camping programs and career/vocation training in areas such as salesmanship, business and entrepreneurship. Expenses also include commissioned youth serving executives, program materials, local scouting events and technical support. Events such as monthly roundtables are provided to share best practices and other activities in accordance with the scouting mission.   the hawkeye area council offers resident camping opportunities at the howard h. Cherry scout reservation near central city, ia. The camp has nine severe weather storm shelters to enhance camp safety. The 500 acre camp hosts cub scout, boy scout and venturing activities. Boy scout summer camp in 2014 had about 530 scouts and 600 cub scouts in attendance. In addition, weekend camping for scout and non-scout groups is available. Outcome measurements of the scouting program prove that youth in the outdoors has a positive impact on peer, family and faith relationships. The camp also offers a high ropes course for more challenging activities. This camp is used by business, school and church groups in the community as well as current scouting members. The camp is staffed by one full time ranger as well as event program directors when appropriate.   the council expanded its efforts of outreach to youth called trailblazers. This effort works directly with youth in hard to serve areas of the council. Over 600 youth were served directly by this effort in cedar rapids and iowa city. In 2014, direct program expenses were used for pack, troop, crew and post materials and advancement.				
Puppy Jake Foundation	http://		EIN 46-1187854	4020 John Lynde Rd	Des Moines	IA	50312	USA	Centers to Support the Independence of Specific Populations						
Northern Iowa River Greenbelt Association	http://		EIN 42-1393296	1275 Taylor Ave	Belmond	IA	50421	USA	Environment, Natural Resources Conservation & Protection						
Iowa Parrot Rescue	http://		EIN 20-2980643	2479 Golden Ave	Letts	IA	52754	USA	Animal Protection & Welfare, Animals						
Orchard Place	http://www.orchardplace.org	(515) 246-3514	EIN 42-1463736	2116 Grand Avenue	Des Moines	IA	50312	USA	Mental Health, Mental Health Associations	Orchard Place is the oldest locally-based charity in Des Moines providing mental health treatment and expertise for Iowa's kids. Our inpatient, outpatient and community programs serve nearly 8,000 children from birth to age 22 annually.	Orchard Place Campus, PACE, Integrated Health Program, Child Guidance Center	Iowa	With the help of our professional staff, volunteers, individual and corporate donors, Orchard Place provides a cornerstone of mental health services for children including residential, outpatient, in-home and care coordination programs.	8000 children with mental health issues.	8,000 children and their familes
FRIENDS OF INHARRIME	http://www.friendsofinharrime.org	563-582-9102	EIN 27-0699179	3065 Vail Trail Ct	Dubuque	IA	52001	USA	International, International Development	Friends of Inharrime is an American organization focused on the support of impoverished children and families in Mozambique.  The organization works closely with the Salesian Sisters in the Mozambican village of Inharrime to support the implementation of various health, nutrition, and social-support programs.    In the United States, Friends of Inharrime is primarily a fundraising organization.  Funds are currently provided to support at school lunch program at the Laura Vicuna Secondary School in Inharrime, a nutrition support program for infants, and a child-sponsorship program that provides monthly support for the nutritional, medical and educational needs of children.	school lunches for primary school students and nutritional and medical support to malnourished kids.	Mozambique	Greater than $40,000 raised to support child health and nutrition.	children	
Valley Band Boosters	http://		EIN 42-6272379	4500 Aspen Dr	Wdm	IA	50265	USA							
West Marshall Parent Teacher Assoc	http://		EIN 42-1436496	Po Box 370	State Center	IA	50247	USA	Education, Parent & Teacher Groups						
Evangelical Lutheran Church In America Woodbury County	http://		EIN 42-1362828	2801 Jackson St	Sioux City	IA	51104	USA							
Paws Of Life Foundation	http://www.pawsoflife.org		EIN 20-0413230	811 S Jefferson Way	Indianola	IA	50125	USA	Animal Protection & Welfare, Animals, Disaster Aid, Public Safety, Disaster Preparedness & Relief, Search & Rescue Squads	The Paws of Life Foundation takes dogs from animal shelters provides basic amounts of training and places them in working dog homes.  We also develop and provide training to law enforcement and search and rescue dog handlers.   This training is based in positive principals and provides several methods.					
Child Abuse Prevention Council	http://www.capcpolk.org	(515) 725-2682	EIN 42-1134180	2309 Euclid Ave	Des Moines	IA	50310	USA	Child Abuse Prevention, Crime & Law, Domestic Violence	The purpose of the child abuse prevention council is to provide an organized channel through which concerned individuals can contribute to and participate in child abuse prevention efforts in the community.	Hope! Drama troupe is a group of teens that writes and performs a play about child abuse and its effect on children and families. The 25-30 troupe members learn about child abuse through an annual retreat in august and then proceed to write and rehearse a 30 minute play which is performed in area middle and high schools throughout the year. Each year 5,000 plus students hear the message that it's not ok to be abused and to seek help. A variety of vignettes dealing with physical and mental abuse, drug and alchol abuse, sexual abuse, date rape, and neglect are covered in the performances. A facillitator trained in dealing with abuse is on hand to answer questions from the audience and to encourage students to seek help for abuse.   parenting classes are offered in several different polk county locations each quarter. All classes are free and some provide a free meal and childcare. Classes are held one night each week for one to two hours and last four to twelve weeks. Curiculums include: parenting children 0-5; active parenting now for school age children; real life parenting skills for parents in recovery; parenting children with behavioral difficulties; avoiding power struggles for parents of teens and other developed to meet special needs. The child abuse council also offers training for caregivers called nurturing healthy sexual development or how to protect children from sexual abuse. These trainings are designed to help adults learn how to protect children from sexual abuse and are provided for specific at-risk populations and the general public.   the council sponsors the free professional consultation team established in 1980 to help practitioners find the best treatment and service planning options to minimize the effects of child abuse. Consultations are free and scheduled twice monthly. The council participates in local community education events to spread the word about child abuse prevention.				
