name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	In-Home Respite Care
Aikido Of Honolulu	http://		EIN 23-7431432	3224 Waialae Ave	Honolulu	HI	96816	USA								
Hawaii Island Humane Society	http://www.hihs.org	(808) 329-2135	EIN 99-6009437	74-5225 Queen Kaahumanu Hwy	Kailua Kona	HI	96740	USA	Animal Protection & Welfare, Animals	The mission of the hawaii island humane society is to prevent cruelty to animals, eliminate pet over population, and enhance the bond between humans and animals.					To maintain, support and operate three animal control and animal shelters on the island of hawaii.   to provide the general public with the ability to adopt animals.	
Hawaii United Okinawa Association	http://		EIN 99-0253235	98-466 Puaapiki St	Aiea	HI	96701	USA								
Nuhou Corporation	http://www.grovefarm.org	(808) 245-3202	EIN 51-0137928	Po Box 1631	Lihue	HI	96766	USA		Carry out the charitable purposes of waioli corporation, a public charity, and maintain grove farm homestead as a museum					Development & operation of grove farm homestead, a waioli corporation	
Boys And Girls Club Of Hawaii	http://www.bgch.com	(808) 949-4203	EIN 99-6005407	345 Queen St Ste 900	Honolulu	HI	96813	USA	Boys & Girls Clubs, Children & Youth	Boys & girls club of hawaii inspires young people to become responsible citizens. Our role is to create a safe place for kids to grow, provide mentoring by a professionally-trained staff and caring volunteers, nurture character development and life-enhancing skills, and provide hope and opportunity.					The organization provides services to the youth in the form of athletics, computer training, health & life skills, arts, character & leadership development, education & career development.	
Hawaii Public Radio	http://		EIN 51-0191809	738 Kaheka Street	Honolulu	HI	96814	USA								
Hale O Na Kaula	http://		EIN 99-0220212	Po Box 880460	Pukalani	HI	96788	USA	Christianity, Religion							
Ewa Beach Foursquare Church	http://		EIN 91-1890479	Po Box 2130	Ewa Beach	HI	96706	USA								
Friends Of Hoopono	http://		EIN 99-6009131	47-460 Hui Kelu St	Kaneohe	HI	96744	USA	Human Services							
Bihf Riverside Community Based Nonprofit Corporation	http://		EIN 99-0321228	688 Kinoole St Ste 102	Hilo	HI	96720	USA	Homeless & Housing, Housing Support							
Komolani Baptist Church	http://		EIN 99-0210720	PO Box 22789	Honolulu	HI	96823	USA								
Lihue Baptist Church	http://		EIN 99-0142824	3223 Elua St	Lihue	HI	96766	USA								
U-Turn For Christ Kauai Inc	http://		EIN 20-8090926	Po Box 1781	Kapaa	HI	96746	USA	Christianity, Religion							
Kaala Nippongo Gakuen	http://		EIN 99-0114179	Po Box 860838	Wahiawa	HI	96786	USA								
Mililani High School Spada Inc	http://		EIN 99-0333167	Po Box 894174	Mililani	HI	96789	USA	Education, Student Services							
Honolulu Bible Church Incorporated	http://		EIN 99-0181487	1844 Palolo Ave	Honolulu	HI	96816	USA								
Civil Air Patrol	http://www.capnhq.gov/		EIN 99-0309334	PO Box 29417	Honolulu	HI	96820	USA	Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.						
Ziona Hou Church	http://		EIN 99-0189443	Po Box 681	Waianae	HI	96792	USA	Christianity, Religion							
Hawaii Wildlife Center	http://www.hawaiiwildlifecenter.org	(808) 884-5000	EIN 20-1489691	P.O. Box 551752	Kapa'au	HI	96755	USA	Animal Protection & Welfare, Animals, Environment, Environmental Education, Protection of Endangered Species, Wildlife Preservation & Protection	To protect, conserve, and aid in the recovery of Hawaiis native wildlife through hands-on treatment, research, training, science education and cultural programs.	Completed a brand-new, purpose-built state-of-the-art wildlife rescue, rehabilitation and education facility and officially launched animal care.  Educational exhibits are currently in development.			The entire Hawaiian Island Chain, including the Northwestern Hawaiian Islands extending to Midway and Kure Atolls	Annual native wildlife care and rehabilitation, emergency wildlife response, professional training in wildlife handling and emergency response, public outreach and education	
Pearlside Boxing Inc	http://www.pearlsideboxing.org	(808) 256-2885	EIN 51-0492113	92-1005 Lalahi St Apt 203	Kapolei	HI	96707	USA	Amateur Sports Competitions, Children & Youth, Community Recreational Centers, Sports, Sports Associations & Training Facilities, Youth Community Service Clubs	To provide health, education, and fitness through the sport of boxing.					Provide a boxing & fitness program that is safe, in a wholesome environment whereby youth and adults learn to improve fitness, learn moral responsibility, learn from role models, learn to mentor others, and learn the importance of doing community service. We have provided opportunities for athletes to compete locally in hawaii and travel to usa national championships on the mainland usa every year since 2013.	
